ORF code	Gene name	dN	dS	dN/dS
YOL005C	RPB11	0.000	0.311	0.000
YBR164C	ARL1	0.000	0.303	0.000
YDR045C	RPC11	0.000	0.248	0.000
YFR032C-A	RPL29	0.000	0.055	0.000
YOR020C	HSP10	0.000	0.172	0.000
YDR276C	PMP3	0.000	0.180	0.000
YBR191W	RPL21A	0.000	0.067	0.000
YML063W	RPS1B	0.000	0.090	0.000
YDR032C	PST2	0.000	0.305	0.000
YPR102C	RPL11A	0.000	0.156	0.000
YML009C	MRPL39	0.000	0.400	0.000
YLR038C	COX12	0.000	0.333	0.000
YDR155C	CPR1	0.000	0.201	0.000
YER072W	VTC1	0.000	0.242	0.000
YKL170W	MRPL38	0.000	0.406	0.000
YER009W	NTF2	0.000	0.673	0.000
YER126C	NSA2	0.000	0.290	0.000
YHR143W-A	RPC10	0.000	0.315	0.000
YPL131W	RPL5	0.000	0.072	0.000
YMR260C	TIF11	0.000	0.487	0.000
YHR005C-A	MRS11	0.000	0.626	0.000
YDR510W	SMT3	0.000	0.323	0.000
YJR007W	SUI2	0.000	0.294	0.000
YKL196C	YKT6	0.000	0.358	0.000
YER179W	DMC1	0.000	0.345	0.000
YNL330C	RPD3	0.000	0.022	0.000
YJR058C	APS2	0.000	0.272	0.000
YGL123W	RPS2	0.000	0.045	0.000
YJL166W	QCR8	0.000	0.323	0.000
YKL001C	MET14	0.000	0.358	0.000
YBL049W	MOH1	0.000	0.223	0.000
YPL037C	EGD1	0.000	0.143	0.000
YLR043C	TRX1	0.000	0.182	0.000
YAL030W	SNC1	0.000	0.265	0.000
YER131W	RPS26B	0.000	0.208	0.000
YMR256C	COX7	0.000	0.329	0.000
YGL019W	CKB1	0.000	0.234	0.000
YOR312C	RPL20B	0.000	0.096	0.000
YGR037C	ACB1	0.000	0.270	0.000
YLR388W	RPS29A	0.000	0.108	0.000
YGL031C	RPL24A	0.000	0.116	0.000
YNR037C	RSM19	0.000	0.553	0.000
YNL070W	TOM7	0.000	0.255	0.000
YOR094W	ARF3	0.000	0.255	0.000
YHR181W	SVP26	0.000	0.042	0.000
YJR034W	PET191	0.000	0.704	0.000
YNL323W	LEM3	0.000	0.012	0.000
YLR327C	TMA10	0.000	1.439	0.000
YER019C-A	SBH2	0.000	0.245	0.000
YNL178W	RPS3	0.000	0.112	0.000
YDR064W	RPS13	0.000	0.122	0.000
YNL321W	VNX1	0.001	0.016	0.032
YNL325C	FIG4	0.001	0.009	0.056
YDL229W	SSB1	0.001	0.119	0.006
YBR196C	PGI1	0.001	0.258	0.003
YDR037W	KRS1	0.001	0.006	0.129
YJR121W	ATP2	0.001	0.260	0.003
YOR117W	RPT5	0.001	0.364	0.003
YPL235W	RVB2	0.001	0.336	0.003
YDL084W	SUB2	0.001	0.286	0.003
YFL037W	TUB2	0.001	0.234	0.004
YER136W	GDI1	0.001	0.356	0.003
YKR059W	TIF1	0.001	0.128	0.009
YGR254W	ENO1	0.001	0.069	0.016
YHR174W	ENO2	0.001	0.028	0.039
YKL008C	LAC1	0.001	0.209	0.005
YDL055C	PSA1	0.001	0.198	0.007
YPR086W	SUA7	0.001	0.418	0.003
YKL104C	GFA1	0.001	0.308	0.004
YDR035W	ARO3	0.001	0.140	0.009
YPL266W	DIM1	0.001	0.378	0.004
YLR447C	VMA6	0.001	0.177	0.008
YMR146C	TIF34	0.001	0.208	0.007
YDR075W	PPH3	0.002	0.384	0.004
YGL148W	ARO2	0.002	0.408	0.004
YOR151C	RPB2	0.002	0.318	0.005
YDL126C	CDC48	0.002	0.397	0.004
YLR044C	PDC1	0.002	0.075	0.021
YDR099W	BMH2	0.002	0.295	0.006
YMR217W	GUA1	0.002	0.236	0.007
YOR133W	EFT1	0.002	0.112	0.015
YBL099W	ATP1	0.002	0.259	0.007
YCR010C	ADY2	0.002	0.437	0.004
YIL142W	CCT2	0.002	0.385	0.005
YMR300C	ADE4	0.002	0.311	0.006
YNL055C	POR1	0.002	0.355	0.005
YML092C	PRE8	0.002	0.280	0.007
YPR016C	TIF6	0.002	0.218	0.009
YLR058C	SHM2	0.002	0.204	0.009
YER177W	BMH1	0.002	0.228	0.008
YBR080C	SEC18	0.002	0.357	0.005
YGL253W	HXK2	0.002	0.205	0.009
YDR036C	EHD3	0.002	0.012	0.158
YBR143C	SUP45	0.002	0.461	0.004
YMR314W	PRE5	0.002	0.203	0.010
YDL185W	TFP1	0.002	0.205	0.010
YER031C	YPT31	0.002	0.290	0.007
YLR347C	KAP95	0.002	0.340	0.006
YKL152C	GPM1	0.002	0.103	0.020
YBR035C	PDX3	0.002	0.318	0.007
YLR293C	GSP1	0.002	0.129	0.017
YFL005W	SEC4	0.002	0.255	0.009
YGL135W	RPL1B	0.002	0.065	0.034
YGL048C	RPT6	0.002	0.318	0.007
YDR502C	SAM2	0.002	0.300	0.008
YHR107C	CDC12	0.002	0.377	0.006
YKL080W	VMA5	0.002	0.292	0.008
YKR035W-A	DID2	0.002	0.426	0.005
YDL022W	GPD1	0.002	0.344	0.007
YPR181C	SEC23	0.002	0.330	0.007
YJL001W	PRE3	0.002	0.409	0.006
YLR009W	RLP24	0.002	0.227	0.011
YER165W	PAB1	0.003	0.155	0.016
YLL026W	HSP104	0.003	0.442	0.006
YLR153C	ACS2	0.003	0.465	0.005
YGR040W	KSS1	0.003	0.435	0.006
YHR148W	IMP3	0.003	0.237	0.011
YDL029W	ARP2	0.003	0.442	0.006
YBL015W	ACH1	0.003	0.380	0.007
YDR516C	EMI2	0.003	0.410	0.006
YPR149W	NCE102	0.003	0.251	0.010
YOR257W	CDC31	0.003	0.547	0.005
YDL143W	CCT4	0.003	0.305	0.009
YDR044W	HEM13	0.003	0.396	0.007
YDR460W	TFB3	0.003	0.445	0.006
YLR377C	FBP1	0.003	0.413	0.007
YHL011C	PRS3	0.003	0.394	0.007
YOR061W	CKA2	0.003	0.213	0.013
YOR271C	FSF1	0.003	0.370	0.008
YGR010W	NMA2	0.003	0.389	0.007
YIL021W	RPB3	0.003	0.325	0.009
YBR054W	YRO2	0.003	0.275	0.010
YDL014W	NOP1	0.003	0.228	0.012
YKL035W	UGP1	0.003	0.334	0.008
YFR004W	RPN11	0.003	0.362	0.008
YOR310C	NOP58	0.003	0.283	0.010
YER036C	ARB1	0.003	0.282	0.010
YKL056C	TMA19	0.003	0.099	0.029
YMR241W	YHM2	0.003	0.242	0.012
YOR207C	RET1	0.003	0.442	0.007
YLR167W	RPS31	0.003	0.123	0.025
YPL086C	ELP3	0.003	0.407	0.008
YIL065C	FIS1	0.003	0.373	0.008
YLR259C	HSP60	0.003	0.386	0.008
YBR126C	TPS1	0.003	0.274	0.011
YJR065C	ARP3	0.003	0.283	0.011
YGR240C	PFK1	0.003	0.339	0.009
YNL075W	IMP4	0.003	0.271	0.011
YOR298C-A	MBF1	0.003	0.349	0.009
YPL232W	SSO1	0.003	0.412	0.008
YEL013W	VAC8	0.003	0.312	0.010
YER025W	GCD11	0.003	0.293	0.011
YDR212W	TCP1	0.003	0.339	0.009
YBR127C	VMA2	0.003	0.213	0.015
YER125W	RSP5	0.003	0.342	0.010
YBL021C	HAP3	0.003	0.301	0.011
YMR120C	ADE17	0.003	0.446	0.007
YJL014W	CCT3	0.003	0.358	0.009
YJR064W	CCT5	0.003	0.346	0.010
YDL208W	NHP2	0.003	0.488	0.007
YCR031C	RPS14A	0.003	0.156	0.022
YGL190C	CDC55	0.003	0.223	0.015
YER171W	RAD3	0.003	0.385	0.009
YOL012C	HTZ1	0.003	0.213	0.016
YEL051W	VMA8	0.003	0.210	0.016
YDR513W	GRX2	0.003	0.290	0.012
YLR378C	SEC61	0.004	0.355	0.010
YJR045C	SSC1	0.004	0.309	0.011
YLR355C	ILV5	0.004	0.077	0.046
YOR204W	DED1	0.004	0.367	0.010
YHR208W	BAT1	0.004	0.397	0.009
YKL058W	TOA2	0.004	0.300	0.012
YGR267C	FOL2	0.004	0.375	0.010
YJR016C	ILV3	0.004	0.370	0.010
YOL038W	PRE6	0.004	0.296	0.012
YNL135C	FPR1	0.004	0.139	0.027
YGR144W	THI4	0.004	0.428	0.009
YLR186W	EMG1	0.004	0.232	0.016
YMR083W	ADH3	0.004	0.353	0.010
YGR173W	RBG2	0.004	0.330	0.011
YEL021W	URA3	0.004	0.389	0.010
YIL106W	MOB1	0.004	0.437	0.009
YJR063W	RPA12	0.004	0.209	0.018
YGR195W	SKI6	0.004	0.296	0.013
YHR008C	SOD2	0.004	0.439	0.009
YKR097W	PCK1	0.004	0.522	0.007
YGL054C	ERV14	0.004	0.236	0.016
YBL078C	ATG8	0.004	0.327	0.012
YBL041W	PRE7	0.004	0.286	0.014
YBL068W	PRS4	0.004	0.442	0.009
YHR088W	RPF1	0.004	0.348	0.011
YNR016C	ACC1	0.004	0.366	0.011
YMR186W	HSC82	0.004	0.319	0.012
YOL161C	PAU20	0.004	0.099	0.040
YDR447C	RPS17B	0.004	0.089	0.045
YGR163W	GTR2	0.004	0.489	0.008
YJL012C	VTC4	0.004	0.315	0.013
YBR154C	RPB5	0.004	0.288	0.014
YDR392W	SPT3	0.004	0.493	0.008
YEL039C	CYC7	0.004	0.528	0.008
YLR303W	MET17	0.004	0.315	0.013
YJR048W	CYC1	0.004	0.321	0.013
YDR054C	CDC34	0.004	0.185	0.022
YHR193C	EGD2	0.004	0.176	0.023
YFL046W	FMP32	0.004	0.560	0.007
YMR183C	SSO2	0.004	0.329	0.012
YIL111W	COX5B	0.004	0.495	0.008
YNL329C	PEX6	0.004	0.016	0.259
YNL189W	SRP1	0.004	0.304	0.014
YPR088C	SRP54	0.004	0.331	0.013
YER043C	SAH1	0.004	0.229	0.018
YEL024W	RIP1	0.004	0.275	0.015
YDR001C	NTH1	0.004	0.341	0.012
YNL069C	RPL16B	0.004	0.119	0.035
YJL034W	KAR2	0.004	0.336	0.013
YGR175C	ERG1	0.004	0.245	0.018
YPL093W	NOG1	0.004	0.308	0.014
YKL181W	PRS1	0.004	0.331	0.013
YML121W	GTR1	0.004	0.390	0.011
YDL182W	LYS20	0.004	0.434	0.010
YML069W	POB3	0.004	0.275	0.016
YOL126C	MDH2	0.004	0.477	0.009
YDR059C	UBC5	0.004	0.314	0.014
YDR177W	UBC1	0.004	0.322	0.014
YHR026W	PPA1	0.004	0.120	0.037
YDL135C	RDI1	0.004	0.349	0.013
YNL222W	SSU72	0.004	0.106	0.042
YDR079W	PET100	0.004	0.201	0.022
YKR052C	MRS4	0.004	0.330	0.013
YOL097C	WRS1	0.004	0.258	0.017
YGR231C	PHB2	0.004	0.459	0.010
YLR359W	ADE13	0.005	0.497	0.009
YGR218W	CRM1	0.005	0.335	0.013
YBR038W	CHS2	0.005	0.355	0.013
YPR041W	TIF5	0.005	0.300	0.015
YOL109W	ZEO1	0.005	0.170	0.027
YDL160C	DHH1	0.005	0.363	0.013
YBL072C	RPS8A	0.005	0.044	0.106
YHR068W	DYS1	0.005	0.266	0.017
YKL190W	CNB1	0.005	0.386	0.012
YBR218C	PYC2	0.005	0.341	0.013
YLR147C	SMD3	0.005	0.388	0.012
YDL081C	RPP1A	0.005	0.097	0.048
YGR060W	ERG25	0.005	0.129	0.036
YCR012W	PGK1	0.005	0.047	0.100
YOR063W	RPL3	0.005	0.078	0.061
YKR068C	BET3	0.005	0.386	0.012
YBR106W	PHO88	0.005	0.204	0.023
YOL077C	BRX1	0.005	0.290	0.017
YPL211W	NIP7	0.005	0.290	0.017
YPR183W	DPM1	0.005	0.428	0.011
YBR117C	TKL2	0.005	0.447	0.011
YLR351C	NIT3	0.005	0.413	0.012
YDR258C	HSP78	0.005	0.447	0.011
YDR092W	UBC13	0.005	0.506	0.010
YER081W	SER3	0.005	0.353	0.014
YGL008C	PMA1	0.005	0.115	0.043
YHR025W	THR1	0.005	0.386	0.013
YDR328C	SKP1	0.005	0.298	0.016
YDL165W	CDC36	0.005	0.408	0.012
YDR190C	RVB1	0.005	0.345	0.014
YPL145C	KES1	0.005	0.283	0.018
YAL038W	CDC19	0.005	0.079	0.065
YPR010C	RPA135	0.005	0.406	0.013
YAL036C	RBG1	0.005	0.358	0.014
YGL022W	STT3	0.005	0.269	0.019
YLR229C	CDC42	0.005	0.135	0.039
YMR205C	PFK2	0.005	0.252	0.021
YEL011W	GLC3	0.005	0.432	0.012
YLR017W	MEU1	0.005	0.505	0.010
YHR019C	DED81	0.005	0.233	0.022
YBR181C	RPS6B	0.005	0.073	0.073
YLR270W	DCS1	0.005	0.307	0.017
YDL181W	INH1	0.005	0.250	0.021
YKL053C-A	MDM35	0.005	0.322	0.016
YDR091C	RLI1	0.005	0.471	0.011
YOL094C	RFC4	0.005	0.435	0.012
YLR249W	YEF3	0.005	0.163	0.033
YKL148C	SDH1	0.005	0.269	0.020
YIL041W	GVP36	0.005	0.512	0.010
YDR394W	RPT3	0.005	0.245	0.022
YGL011C	SCL1	0.005	0.414	0.013
YCL059C	KRR1	0.005	0.274	0.020
YGR005C	TFG2	0.005	0.494	0.011
YOR374W	ALD4	0.005	0.320	0.017
YDL066W	IDP1	0.005	0.286	0.019
YLR244C	MAP1	0.005	0.429	0.013
YBR058C-A	TSC3	0.005	0.487	0.011
YAL005C	SSA1	0.006	0.190	0.029
YNL255C	GIS2	0.006	0.266	0.021
YDR335W	MSN5	0.006	0.346	0.016
YOL061W	PRS5	0.006	0.449	0.012
YGR086C	PIL1	0.006	0.257	0.021
YOL143C	RIB4	0.006	0.203	0.027
YFL045C	SEC53	0.006	0.355	0.015
YDR062W	LCB2	0.006	0.458	0.012
YJL143W	TIM17	0.006	0.430	0.013
YNL037C	IDH1	0.006	0.369	0.015
YKL182W	FAS1	0.006	0.262	0.021
YER178W	PDA1	0.006	0.284	0.020
YEL034W	HYP2	0.006	0.107	0.052
YJR010W	MET3	0.006	0.290	0.019
YJR047C	ANB1	0.006	0.153	0.037
YGR244C	LSC2	0.006	0.318	0.018
YGL080W	FMP37	0.006	0.437	0.013
YPR074C	TKL1	0.006	0.280	0.020
YJL121C	RPE1	0.006	0.279	0.020
YLR110C	CCW12	0.006	0.079	0.072
YLR370C	ARC18	0.006	0.268	0.021
YGL120C	PRP43	0.006	0.350	0.017
YDR023W	SES1	0.006	0.287	0.020
YNR001C	CIT1	0.006	0.303	0.019
YGL062W	PYC1	0.006	0.455	0.013
YGL115W	SNF4	0.006	0.333	0.017
YJR095W	SFC1	0.006	0.281	0.021
YCR047C	BUD23	0.006	0.354	0.016
YNL147W	LSM7	0.006	0.278	0.021
YKL113C	RAD27	0.006	0.376	0.016
YAL016W	TPD3	0.006	0.312	0.019
YFR015C	GSY1	0.006	0.372	0.016
YKL004W	AUR1	0.006	0.256	0.023
YKL160W	ELF1	0.006	0.361	0.016
YMR001C	CDC5	0.006	0.437	0.014
YML106W	URA5	0.006	0.274	0.022
YHL031C	GOS1	0.006	0.376	0.016
YCL055W	KAR4	0.006	0.396	0.015
YPL122C	TFB2	0.006	0.296	0.020
YFR044C	DUG1	0.006	0.300	0.020
YNL327W	EGT2	0.006	0.011	0.556
YLR258W	GSY2	0.006	0.309	0.020
YGL026C	TRP5	0.006	0.340	0.018
YCL009C	ILV6	0.006	0.236	0.026
YLR089C	ALT1	0.006	0.337	0.018
YPR036W	VMA13	0.006	0.197	0.031
YNL015W	PBI2	0.006	0.262	0.023
YOR065W	CYT1	0.006	0.226	0.027
YDR158W	HOM2	0.006	0.424	0.015
YOR224C	RPB8	0.006	0.310	0.020
YJL008C	CCT8	0.006	0.386	0.016
YLR075W	RPL10	0.006	0.067	0.093
YDR450W	RPS18A	0.006	0.053	0.118
YLR325C	RPL38	0.006	0.041	0.152
YJL140W	RPB4	0.006	0.245	0.026
YNL220W	ADE12	0.006	0.266	0.024
YKL117W	SBA1	0.006	0.493	0.013
YPR035W	GLN1	0.006	0.227	0.028
YPR107C	YTH1	0.006	0.402	0.016
YMR079W	SEC14	0.006	0.178	0.036
YPL178W	CBC2	0.006	0.441	0.014
YCL040W	GLK1	0.006	0.420	0.015
YOL123W	HRP1	0.006	0.306	0.021
YAL054C	ACS1	0.006	0.377	0.017
YNR053C	NOG2	0.006	0.324	0.020
YER086W	ILV1	0.007	0.233	0.028
YHR170W	NMD3	0.007	0.298	0.022
YGL245W	GUS1	0.007	0.313	0.021
YPL106C	SSE1	0.007	0.493	0.013
YML058W-A	HUG1	0.007	0.306	0.022
YLL041C	SDH2	0.007	0.435	0.015
YDL095W	PMT1	0.007	0.417	0.016
YAL012W	CYS3	0.007	0.227	0.029
YBL092W	RPL32	0.007	0.105	0.064
YLL018C	DPS1	0.007	0.248	0.027
YCL017C	NFS1	0.007	0.403	0.017
YER110C	KAP123	0.007	0.344	0.019
YPR145W	ASN1	0.007	0.290	0.023
YPL265W	DIP5	0.007	0.266	0.025
YMR105C	PGM2	0.007	0.314	0.021
YLR029C	RPL15A	0.007	0.037	0.185
YER091C	MET6	0.007	0.254	0.027
YOR116C	RPO31	0.007	0.362	0.019
YGR132C	PHB1	0.007	0.391	0.017
YGR180C	RNR4	0.007	0.200	0.034
YLR175W	CBF5	0.007	0.185	0.037
YLR268W	SEC22	0.007	0.257	0.027
YDR345C	HXT3	0.007	0.333	0.021
YBR034C	HMT1	0.007	0.324	0.021
YOR335C	ALA1	0.007	0.397	0.017
YPR156C	TPO3	0.007	0.559	0.012
YML126C	ERG13	0.007	0.166	0.042
YBL023C	MCM2	0.007	0.555	0.012
YKL085W	MDH1	0.007	0.381	0.018
YDR071C	PAA1	0.007	0.360	0.019
YOL077W-A	ATP19	0.007	0.291	0.024
YBR296C	PHO89	0.007	0.423	0.016
YJR019C	TES1	0.007	0.314	0.022
YDR033W	MRH1	0.007	0.177	0.039
YNL322C	KRE1	0.007	0.027	0.257
YKL046C	DCW1	0.007	0.370	0.019
YGL200C	EMP24	0.007	0.319	0.022
YLR197W	SIK1	0.007	0.218	0.032
YOR039W	CKB2	0.007	0.392	0.018
YBR249C	ARO4	0.007	0.274	0.026
YGR172C	YIP1	0.007	0.384	0.018
YGL167C	PMR1	0.007	0.461	0.015
YBR029C	CDS1	0.007	0.310	0.023
YOR109W	INP53	0.007	0.430	0.016
YNL090W	RHO2	0.007	0.518	0.014
YPR160W	GPH1	0.007	0.356	0.020
YMR297W	PRC1	0.007	0.368	0.019
YMR015C	ERG5	0.007	0.238	0.030
YDR002W	YRB1	0.007	0.180	0.040
YMR203W	TOM40	0.007	0.212	0.034
YJR070C	LIA1	0.007	0.255	0.028
YGR082W	TOM20	0.007	0.332	0.022
YJL111W	CCT7	0.007	0.402	0.018
YKL120W	OAC1	0.007	0.241	0.030
YGL207W	SPT16	0.007	0.508	0.014
YPR173C	VPS4	0.007	0.376	0.019
YNL142W	MEP2	0.007	0.384	0.019
YBL064C	PRX1	0.007	0.460	0.016
YOR270C	VPH1	0.007	0.324	0.023
YHR007C	ERG11	0.007	0.270	0.027
YHR190W	ERG9	0.007	0.376	0.019
YMR272C	SCS7	0.007	0.320	0.023
YPL051W	ARL3	0.007	0.351	0.021
YGR028W	MSP1	0.007	0.453	0.016
YCR053W	THR4	0.007	0.328	0.023
YER095W	RAD51	0.007	0.303	0.024
YGR088W	CTT1	0.007	0.415	0.018
YGL147C	RPL9A	0.007	0.139	0.053
YDL205C	HEM3	0.008	0.352	0.021
YML120C	NDI1	0.008	0.345	0.022
YNL025C	SSN8	0.008	0.364	0.021
YJL133W	MRS3	0.008	0.234	0.032
YNR032C-A	HUB1	0.008	0.296	0.025
YHR104W	GRE3	0.008	0.354	0.021
YIL008W	URM1	0.008	0.205	0.037
YDL215C	GDH2	0.008	0.416	0.018
YDL100C	GET3	0.008	0.316	0.024
YKR002W	PAP1	0.008	0.411	0.019
YGL040C	HEM2	0.008	0.475	0.016
YLR134W	PDC5	0.008	0.146	0.053
YLL045C	RPL8B	0.008	0.133	0.058
YIL094C	LYS12	0.008	0.382	0.020
YBR025C	OLA1	0.008	0.214	0.036
YKR014C	YPT52	0.008	0.287	0.027
YPR113W	PIS1	0.008	0.505	0.015
YKR001C	VPS1	0.008	0.281	0.028
YNL229C	URE2	0.008	0.347	0.023
YDL171C	GLT1	0.008	0.378	0.021
YJR076C	CDC11	0.008	0.271	0.029
YOL067C	RTG1	0.008	0.463	0.017
YML081C-A	ATP18	0.008	0.381	0.021
YLR208W	SEC13	0.008	0.350	0.023
YDR373W	FRQ1	0.008	0.466	0.017
YBR221C	PDB1	0.008	0.248	0.032
YGR284C	ERV29	0.008	0.204	0.039
YOL059W	GPD2	0.008	0.176	0.045
YER048C	CAJ1	0.008	0.343	0.023
YPL028W	ERG10	0.008	0.336	0.024
YPL262W	FUM1	0.008	0.554	0.015
YJL130C	URA2	0.008	0.321	0.025
YIL109C	SEC24	0.008	0.309	0.026
YIL033C	BCY1	0.008	0.277	0.029
YGR038W	ORM1	0.008	0.398	0.020
YOR197W	MCA1	0.008	0.477	0.017
YDL235C	YPD1	0.008	0.310	0.026
YLR028C	ADE16	0.008	0.355	0.023
YJR072C	NPA3	0.008	0.296	0.028
YIL125W	KGD1	0.008	0.434	0.019
YLR060W	FRS1	0.008	0.259	0.032
YGR020C	VMA7	0.008	0.252	0.033
YGR124W	ASN2	0.008	0.240	0.034
YLR004C	THI73	0.008	0.223	0.037
YHR128W	FUR1	0.008	0.282	0.029
YBR192W	RIM2	0.008	0.423	0.020
YIR028W	DAL4	0.008	0.298	0.028
YJR077C	MIR1	0.008	0.244	0.034
YOL039W	RPP2A	0.008	0.128	0.066
YMR308C	PSE1	0.008	0.366	0.023
YLR291C	GCD7	0.009	0.338	0.025
YER099C	PRS2	0.009	0.488	0.017
YFL034C-B	MOB2	0.009	0.345	0.025
YGL206C	CHC1	0.009	0.388	0.022
YER065C	ICL1	0.009	0.359	0.024
YGL112C	TAF6	0.009	0.475	0.018
YHL016C	DUR3	0.009	0.455	0.019
YCR002C	CDC10	0.009	0.305	0.028
YGL091C	NBP35	0.009	0.305	0.028
YJR139C	HOM6	0.009	0.314	0.027
YGR204W	ADE3	0.009	0.349	0.025
YER070W	RNR1	0.009	0.343	0.025
YBR121C	GRS1	0.009	0.353	0.024
YLR328W	NMA1	0.009	0.445	0.019
YIL155C	GUT2	0.009	0.382	0.023
YPL231W	FAS2	0.009	0.351	0.025
YPR138C	MEP3	0.009	0.392	0.022
YGL191W	COX13	0.009	0.511	0.017
YOR341W	RPA190	0.009	0.326	0.027
YML077W	BET5	0.009	0.340	0.026
YPR069C	SPE3	0.009	0.422	0.021
YHR183W	GND1	0.009	0.098	0.089
YNL317W	PFS2	0.009	0.445	0.020
YDR399W	HPT1	0.009	0.326	0.027
YIL066C	RNR3	0.009	0.439	0.020
YDR486C	VPS60	0.009	0.327	0.027
YPL061W	ALD6	0.009	0.249	0.035
YKR080W	MTD1	0.009	0.291	0.030
YKL203C	TOR2	0.009	0.415	0.021
YGL009C	LEU1	0.009	0.364	0.024
YPR020W	ATP20	0.009	0.220	0.040
YJR109C	CPA2	0.009	0.338	0.026
YGL194C	HOS2	0.009	0.311	0.029
YLR411W	CTR3	0.009	0.544	0.016
YBL039C	URA7	0.009	0.342	0.026
YFL018C	LPD1	0.009	0.456	0.020
YNL061W	NOP2	0.009	0.374	0.024
YKL029C	MAE1	0.009	0.291	0.031
YDL045W-A	MRP10	0.009	0.771	0.012
YLR432W	IMD3	0.009	0.354	0.025
YGL234W	"ADE5,7"	0.009	0.261	0.034
YBR236C	ABD1	0.009	0.492	0.018
YNL241C	ZWF1	0.009	0.356	0.026
YKL126W	YPK1	0.009	0.338	0.027
YMR290C	HAS1	0.009	0.337	0.027
YOL062C	APM4	0.009	0.413	0.022
YGR260W	TNA1	0.009	0.306	0.030
YER023W	PRO3	0.009	0.229	0.040
YOL058W	ARG1	0.009	0.350	0.026
YKL217W	JEN1	0.009	0.403	0.023
YMR055C	BUB2	0.009	0.438	0.021
YPL237W	SUI3	0.009	0.153	0.061
YGR092W	DBF2	0.009	0.422	0.022
YHR200W	RPN10	0.009	0.316	0.029
YLR292C	SEC72	0.009	0.429	0.022
YNR002C	ATO2	0.009	0.618	0.015
YOR370C	MRS6	0.009	0.364	0.026
YMR080C	NAM7	0.009	0.333	0.028
YER012W	PRE1	0.009	0.320	0.029
YAL053W	FLC2	0.009	0.391	0.024
YNL113W	RPC19	0.009	0.377	0.025
YOR362C	PRE10	0.010	0.438	0.022
YLR340W	RPP0	0.010	0.111	0.086
YER044C	ERG28	0.010	0.217	0.044
YPL078C	ATP4	0.010	0.332	0.029
YPR060C	ARO7	0.010	0.311	0.031
YGR174C	CBP4	0.010	0.434	0.022
YDL217C	TIM22	0.010	0.741	0.013
YIL002C	INP51	0.010	0.328	0.029
YEL031W	SPF1	0.010	0.274	0.035
YAR015W	ADE1	0.010	0.180	0.053
YPL047W	SGF11	0.010	0.280	0.034
YKR042W	UTH1	0.010	0.278	0.035
YBR036C	CSG2	0.010	0.308	0.031
YDL102W	POL3	0.010	0.447	0.022
YKR062W	TFA2	0.010	0.450	0.022
YJL052W	TDH1	0.010	0.141	0.069
YNL104C	LEU4	0.010	0.324	0.030
YNL287W	SEC21	0.010	0.279	0.035
YOR108W	LEU9	0.010	0.380	0.026
YPL160W	CDC60	0.010	0.275	0.035
YIL051C	MMF1	0.010	0.331	0.029
YAL023C	PMT2	0.010	0.237	0.041
YDL130W-A	STF1	0.010	0.628	0.015
YLL001W	DNM1	0.010	0.303	0.032
YOL040C	RPS15	0.010	0.081	0.120
YIL118W	RHO3	0.010	0.285	0.034
YLR304C	ACO1	0.010	0.305	0.032
