Scer_Name	Spar_Name	Scer_Gene
Scer_2.73	Spar_2.56	YBL067C
Scer_2.74	Spar_2.57	YBL066C
Scer_2.76	Spar_2.59	YBL064C
Scer_2.77	Spar_2.60	YBL063W
Scer_2.78	Spar_2.61	YBL061C
Scer_2.79	Spar_2.62	YBL060W
Scer_2.80	Spar_2.63	YBL059C-A
Scer_2.81	Spar_2.64	YBL059W
Scer_2.82	Spar_2.65	YBL058W
Scer_2.83	Spar_2.66	YBL057C
Scer_2.84	Spar_2.67	YBL056W
Scer_2.85	Spar_2.68	Kwal_27.10917
Scer_2.86	Spar_2.69	YBL054W
Scer_2.87	Spar_2.70	YBL052C
Scer_2.88	Spar_2.71	YBL051C
Scer_2.89	Spar_2.72	YBL050W
Scer_2.90	Spar_2.73	YBL049W
Scer_2.92	Spar_2.76	YBL047C
Scer_2.93	Spar_2.77	YBL046W
Scer_2.94	Spar_2.78	YBL045C
Scer_2.95	Spar_2.79	YBL044W
Scer_2.96	Spar_2.80	YBL043W
Scer_2.97	Spar_2.81	YBL042C
Scer_2.108	Spar_2.86	YBL033C
Scer_2.109	Spar_2.87	YBL032W
Scer_2.110	Spar_2.88	YBL031W
Scer_2.111	Spar_2.89	YBL030C
Scer_2.112	Spar_2.90	YBL029C-A
Scer_2.113	Spar_2.91	YBL029W
Scer_2.114	Spar_2.92	YBL028C
Scer_2.115	Spar_2.93	YBL027W
Scer_2.116	Spar_2.95	AFR182C
Scer_2.118	Spar_2.96	YBL025W
Scer_2.119	Spar_2.97	YBL024W
Scer_2.120	Spar_2.98	YBL023C
Scer_2.121	Spar_2.99	YBL022C
Scer_2.122	Spar_2.100	YBL021C
Scer_2.123	Spar_2.102	YBL020W
Scer_2.126	Spar_2.105	YBL017C
Scer_2.127	Spar_2.106	YBL016W
Scer_2.128	Spar_2.107	YBL015W
Scer_2.131	Spar_2.121	YBL014C
Scer_2.132	Spar_2.122	YBL013W
Scer_2.133	Spar_2.124	YBL011W
Scer_2.134	Spar_2.125	YBL010C
Scer_2.135	Spar_2.126	YBL009W
Scer_2.137	Spar_2.128	YBL008W
Scer_2.138	Spar_2.129	YBL007C
Scer_2.139	Spar_2.130	YBL006C
Scer_2.140	Spar_2.131	YBL005W
Scer_2.152	Spar_2.134	AEL006W
Scer_2.153	Spar_2.135	YBL003C
Scer_2.154	Spar_2.136	YBL002W
Scer_2.155	Spar_2.137	YBL001C
Scer_2.156	Spar_2.138	Kpol_1045.60
Scer_2.157	Spar_2.139	YBR002C
Scer_2.158	Spar_2.140	YBR003W
Scer_2.159	Spar_2.141	YBR004C
Scer_2.160	Spar_2.142	YBR005W
Scer_2.161	Spar_2.143	YBR006W
Scer_2.162	Spar_2.144	YBR007C
Scer_2.164	Spar_2.146	YNL030W
Scer_2.165	Spar_2.147	YBR010W
Scer_2.166	Spar_2.148	YBR011C
Scer_2.182	Spar_2.155	YBR014C
Scer_2.183	Spar_2.156	YBR015C
Scer_2.184	Spar_2.157	NA
Scer_2.185	Spar_2.158	YBR017C
Scer_2.186	Spar_2.159	YBR018C
Scer_2.187	Spar_2.160	YBR019C
Scer_2.188	Spar_2.161	YBR020W
Scer_2.189	Spar_2.162	YBR021W
Scer_2.190	Spar_2.163	YBR022W
Scer_2.191	Spar_2.164	YBR023C
Scer_2.192	Spar_2.165	YBR024W
Scer_2.193	Spar_2.166	YBR025C
Scer_2.194	Spar_2.167	YBR026C
Scer_2.196	Spar_2.170	YBR028C
Scer_2.197	Spar_2.171	YBR029C
Scer_2.198	Spar_2.172	YBR030W
Scer_2.199	Spar_2.173	YBR031W
Scer_2.201	Spar_2.175	YBR033W
Scer_2.202	Spar_2.176	YBR034C
Scer_2.203	Spar_2.177	YBR035C
Scer_2.204	Spar_2.178	YBR036C
Scer_2.205	Spar_2.179	YBR037C
Scer_2.206	Spar_2.180	YBR038W
Scer_2.207	Spar_2.181	YBR039W
Scer_2.208	Spar_2.182	YBR040W
Scer_2.209	Spar_2.183	YBR041W
Scer_2.210	Spar_2.184	YBR042C
Scer_2.211	Spar_2.185	YBR043C
Scer_2.212	Spar_2.186	YBR044C
Scer_2.217	Spar_2.193	YBR045C
Scer_2.218	Spar_2.194	YBR046C
Scer_2.219	Spar_2.195	YBR047W
Scer_2.220	Spar_2.196	YDR025W
Scer_2.221	Spar_2.198	YBR049C
Scer_2.222	Spar_2.199	YBR050C
Scer_2.223	Spar_2.200	YBR052C
Scer_2.224	Spar_2.201	YBR053C
Scer_2.225	Spar_2.202	YBR054W
Scer_2.226	Spar_2.203	YBR055C
Scer_2.228	Spar_2.205	YBR056W
Scer_2.230	Spar_2.209	NA
Scer_2.231	Spar_2.210	YBR057C
Scer_2.232	Spar_2.211	YBR058C
Scer_2.233	Spar_2.212	YBR058C-A
Scer_2.234	Spar_2.213	YBR059C
Scer_2.235	Spar_2.214	YBR060C
Scer_2.236	Spar_2.215	YDR037W
Scer_2.237	Spar_2.216	YDR037W
Scer_2.238	Spar_2.217	YBR061C
Scer_2.239	Spar_2.218	YBR062C
Scer_2.240	Spar_2.219	YBR063C
Scer_2.241	Spar_2.220	YBR065C
Scer_2.242	Spar_2.221	YBR066C
Scer_2.243	Spar_2.222	YBR067C
Scer_2.244	Spar_2.223	YBR068C
Scer_2.245	Spar_2.224	YBR069C
Scer_2.246	Spar_2.225	YBR070C
Scer_2.247	Spar_2.226	YBR071W
Scer_2.248	Spar_2.227	YBR072W
Scer_2.250	Spar_2.228	YBR073W
Scer_2.251	Spar_2.229	YBR074W
Scer_2.252	Spar_2.230	YBR076W
Scer_2.255	Spar_2.231	YBR077C
Scer_2.256	Spar_2.232	YBR078W
Scer_2.258	Spar_2.234	YBR079C
Scer_2.259	Spar_2.235	YBR080C
Scer_2.260	Spar_2.236	YBR081C
Scer_2.263	Spar_2.239	AER173C
Scer_2.264	Spar_2.240	YBR083W
Scer_2.265	Spar_2.241	YBR084W
Scer_2.266	Spar_2.242	YBR084C-A
Scer_2.267	Spar_2.243	YBR085W
Scer_2.268	Spar_2.244	YBR085C-A
Scer_2.269	Spar_2.245	YBR086C
Scer_2.270	Spar_2.246	YBR087W
Scer_2.271	Spar_2.247	YBR088C
Scer_2.272	Spar_2.248	YBR089C-A
Scer_2.273	Spar_2.249	YBR090C
Scer_2.274	Spar_2.250	YBR091C
Scer_2.275	Spar_2.251	YBR093C
Scer_2.276	Spar_2.252	YBR092C
Scer_2.277	Spar_2.253	ADL312C
Scer_2.278	Spar_2.254	YBR095C
Scer_2.279	Spar_2.255	YBR096W
Scer_2.280	Spar_2.256	YBR097W
Scer_2.281	Spar_2.257	YBR098W
Scer_2.282	Spar_2.258	YBR101C
Scer_2.283	Spar_2.259	YBR102C
Scer_2.284	Spar_2.260	YBR103W
Scer_2.286	Spar_2.262	YBR104W
Scer_2.287	Spar_2.263	YBR105C
Scer_2.288	Spar_2.264	YBR106W
Scer_2.289	Spar_2.265	YBR107C
Scer_2.290	Spar_2.266	YBR108W
Scer_2.291	Spar_2.267	Kpol_376.14
Scer_2.293	Spar_2.268	YBR110W
Scer_2.294	Spar_2.269	YBR111C
Scer_2.295	Spar_2.270	YBR111W-A
Scer_2.296	Spar_2.271	YBR112C
Scer_2.298	Spar_2.273	YBR114W
Scer_2.299	Spar_2.274	YBR115C
Scer_2.300	Spar_2.275	YBR117C
Scer_2.301	Spar_2.276	YBR118W
Scer_2.302	Spar_2.277	YBR119W
Scer_2.303	Spar_2.278	YBR120C
Scer_2.304	Spar_2.279	YBR121C
Scer_2.305	Spar_2.280	YBR122C
Scer_2.306	Spar_2.281	YBR123C
Scer_2.307	Spar_2.282	YBR125C
Scer_2.308	Spar_2.283	YBR126C
Scer_2.310	Spar_2.285	YBR127C
Scer_2.311	Spar_2.286	YBR128C
Scer_2.312	Spar_2.287	YBR129C
Scer_2.313	Spar_2.288	YBR130C
Scer_2.314	Spar_2.289	YBR131W
Scer_2.315	Spar_2.290	YBR132C
Scer_2.316	Spar_2.291	YBR133C
Scer_2.318	Spar_2.293	YBR135W
Scer_2.319	Spar_2.294	YBR136W
Scer_2.320	Spar_2.296	YBR137W
Scer_2.321	Spar_2.297	YBR138C
Scer_2.322	Spar_2.298	YBR139W
Scer_2.323	Spar_2.299	YBR140C
Scer_2.324	Spar_2.301	YBR141C
Scer_2.325	Spar_2.302	YBR142W
Scer_2.326	Spar_2.303	YBR143C
Scer_2.328	Spar_2.305	YBR145W
Scer_2.329	Spar_2.306	YBR146W
Scer_2.330	Spar_2.307	YBR147W
Scer_2.331	Spar_2.308	YBR148W
Scer_2.332	Spar_2.309	YBR149W
Scer_2.333	Spar_2.310	YBR150C
Scer_2.334	Spar_2.311	YBR151W
Scer_2.335	Spar_2.312	YBR152W
Scer_2.336	Spar_2.313	YBR153W
Scer_2.337	Spar_2.314	YBR154C
Scer_2.338	Spar_2.315	YBR155W
Scer_2.339	Spar_2.316	YBR156C
Scer_2.340	Spar_2.317	YBR157C
Scer_2.341	Spar_2.318	YBR158W
Scer_2.342	Spar_2.319	YBR159W
Scer_2.343	Spar_2.320	YBR160W
Scer_2.344	Spar_2.321	YBR161W
Scer_2.345	Spar_2.322	YBR162C
Scer_2.346	Spar_2.323	NA
Scer_2.348	Spar_2.324	YBR163W
Scer_2.349	Spar_2.325	YBR164C
Scer_2.350	Spar_2.326	YBR165W
Scer_2.351	Spar_2.327	YBR166C
Scer_2.352	Spar_2.328	YBR167C
Scer_2.353	Spar_2.329	YBR168W
Scer_2.354	Spar_2.330	YBR169C
Scer_2.355	Spar_2.331	YBR170C
Scer_2.356	Spar_2.332	YBR171W
Scer_2.357	Spar_2.333	YBR172C
Scer_2.358	Spar_2.334	YBR173C
Scer_2.359	Spar_2.335	YBR175W
Scer_2.360	Spar_2.336	YBR176W
Scer_2.361	Spar_2.337	YBR177C
Scer_2.363	Spar_2.339	YBR179C
Scer_2.364	Spar_2.340	YBR180W
Scer_2.365	Spar_2.346	Kpol_1048.47
Scer_2.366	Spar_2.347	YBR182C
Scer_2.368	Spar_2.348	YBR183W
Scer_2.369	Spar_2.349	YBR184W
Scer_2.370	Spar_2.350	YBR185C
Scer_2.371	Spar_2.351	YBR186W
Scer_2.373	Spar_2.353	YBR187W
Scer_2.374	Spar_2.354	YBR188C
Scer_2.375	Spar_2.355	YPL081W
Scer_2.377	Spar_2.357	YBR191W
Scer_2.378	Spar_2.358	NA
Scer_2.379	Spar_2.359	YBR192W
Scer_2.380	Spar_2.360	YBR193C
Scer_2.381	Spar_2.361	YBR194W
Scer_2.382	Spar_2.362	YBR195C
Scer_2.383	Spar_2.363	YBR196C
Scer_2.386	Spar_2.365	YBR197C
Scer_2.387	Spar_2.366	YBR198C
Scer_2.388	Spar_2.367	YBR199W
Scer_2.389	Spar_2.368	YBR200W
Scer_2.391	Spar_2.369	YBR201W
Scer_2.392	Spar_2.370	YBR201C-A
Scer_2.393	Spar_2.371	YBR202W
Scer_2.394	Spar_2.372	YBR203W
Scer_2.395	Spar_2.373	YBR204C
Scer_2.396	Spar_2.374	YBR205W
Scer_2.397	Spar_2.375	YBR207W
Scer_2.398	Spar_2.376	YBR208C
Scer_2.399	Spar_2.377	YBR209W
Scer_2.406	Spar_2.385	YBR210W
Scer_2.407	Spar_2.386	YBR211C
Scer_2.408	Spar_2.387	YBR212W
Scer_2.409	Spar_2.389	YBR213W
Scer_2.410	Spar_2.390	YBR214W
Scer_2.411	Spar_2.391	YBR215W
Scer_2.412	Spar_2.392	YBR216C
Scer_2.413	Spar_2.393	YBR217W
Scer_2.414	Spar_2.394	YBR218C
Scer_2.416	Spar_2.395	Kpol_461.1
Scer_2.417	Spar_2.396	YBR221C
Scer_2.419	Spar_2.398	YBR222C
Scer_2.420	Spar_2.399	YBR223C
Scer_2.422	Spar_2.401	YBR225W
Scer_2.424	Spar_2.402	YBR227C
Scer_2.425	Spar_2.403	YBR228W
Scer_2.426	Spar_2.404	YBR229C
Scer_2.427	Spar_2.405	YBR230C
Scer_2.428	Spar_2.406	YBR230W-A
Scer_2.429	Spar_2.407	YBR231C
Scer_2.430	Spar_2.408	YBR233W
Scer_2.431	Spar_2.409	YBR233W-A
Scer_2.432	Spar_2.410	YBR234C
Scer_2.433	Spar_2.411	YBR235W
Scer_2.434	Spar_2.412	YBR236C
Scer_2.435	Spar_2.413	YBR237W
Scer_2.436	Spar_2.414	YBR238C
Scer_2.437	Spar_2.415	YBR239C
Scer_2.438	Spar_2.416	YBR240C
Scer_2.439	Spar_2.417	YBR241C
Scer_2.440	Spar_2.418	YBR242W
Scer_2.441	Spar_2.419	YBR243C
Scer_2.442	Spar_2.420	YBR244W
Scer_2.443	Spar_2.421	YBR245C
Scer_2.444	Spar_2.423	YBR246W
Scer_2.445	Spar_2.424	YBR247C
Scer_2.446	Spar_2.425	YBR248C
Scer_2.447	Spar_2.426	YBR249C
Scer_2.448	Spar_2.427	YBR250W
Scer_2.449	Spar_2.428	YBR251W
Scer_2.450	Spar_2.429	YBR252W
Scer_2.451	Spar_2.430	YBR253W
Scer_2.452	Spar_2.431	YBR254C
Scer_2.453	Spar_2.432	YBR255W
Scer_2.454	Spar_2.433	YBR255C-A
Scer_2.455	Spar_2.434	YBR256C
Scer_2.456	Spar_2.435	YBR257W
Scer_2.457	Spar_2.436	YBR258C
Scer_2.458	Spar_2.437	YBR259W
Scer_2.459	Spar_2.438	YBR260C
Scer_2.460	Spar_2.439	YBR261C
Scer_2.461	Spar_2.440	YBR262C
Scer_2.462	Spar_2.441	YBR263W
Scer_2.463	Spar_2.442	YBR264C
Scer_2.464	Spar_2.443	YBR265W
Scer_2.465	Spar_2.444	YBR267W
Scer_2.466	Spar_2.445	YBR268W
Scer_2.467	Spar_2.446	YBR269C
Scer_2.468	Spar_2.447	YBR270C
Scer_2.469	Spar_2.448	YBR271W
Scer_2.470	Spar_2.449	YBR272C
Scer_2.471	Spar_2.450	YBR273C
Scer_2.472	Spar_2.451	YBR274W
Scer_2.473	Spar_2.452	YBR275C
Scer_2.474	Spar_2.453	YBR276C
Scer_2.475	Spar_2.454	YBR278W
Scer_2.476	Spar_2.455	YBR279W
Scer_2.477	Spar_2.456	YBR280C
Scer_2.478	Spar_2.457	YBR281C
Scer_2.479	Spar_2.458	YBR282W
Scer_2.480	Spar_2.459	YBR283C
Scer_2.481	Spar_2.460	YBR284W
Scer_2.482	Spar_2.461	YBR285W
Scer_2.483	Spar_2.462	YBR286W
Scer_2.484	Spar_2.463	YBR287W
Scer_2.485	Spar_2.464	YBR288C
Scer_2.486	Spar_2.465	YBR289W
Scer_2.487	Spar_2.466	YBR290W
Scer_2.488	Spar_2.467	YBR291C
Scer_2.491	Spar_2.468	YBR293W
Scer_2.492	Spar_2.469	YBR294W
Scer_3.14	Spar_3.20	YCL064C
Scer_3.15	Spar_3.21	YCL063W
Scer_3.16	Spar_3.22	YCL061C
Scer_3.17	Spar_3.23	YCL059C
Scer_3.18	Spar_3.24	YCL058W-A
Scer_3.19	Spar_3.25	YCL057C-A
Scer_3.20	Spar_3.26	YCL057W
Scer_3.21	Spar_3.27	YCL056C
Scer_3.22	Spar_3.28	YCL055W
Scer_3.23	Spar_3.29	YCL054W
Scer_3.24	Spar_3.30	YCL052C
Scer_3.25	Spar_3.31	YCL051W
Scer_3.26	Spar_3.32	YCL050C
Scer_3.27	Spar_3.33	YCL049C
Scer_3.28	Spar_3.34	NA
Scer_3.30	Spar_3.35	YCL048W
Scer_3.31	Spar_3.36	YCL047C
Scer_3.32	Spar_3.37	YCL045C
Scer_3.33	Spar_3.38	YCL044C
Scer_3.34	Spar_3.39	YCL043C
Scer_3.37	Spar_3.42	YCL040W
Scer_3.38	Spar_3.43	YCL039W
Scer_3.39	Spar_3.44	YCL038C
Scer_3.40	Spar_3.45	YCL037C
Scer_3.49	Spar_3.46	YCL028W
Scer_3.50	Spar_3.48	YCL027W
Scer_3.51	Spar_3.49	YCL026C-B
Scer_3.52	Spar_3.50	YCL026C-A
Scer_3.53	Spar_3.51	YCL025C
Scer_3.55	Spar_3.52	YCL024W
Scer_3.76	Spar_3.62	YCL018W
Scer_3.77	Spar_3.64	YCL017C
Scer_3.78	Spar_3.65	YCL016C
Scer_3.79	Spar_3.66	YCL014W
Scer_3.80	Spar_3.67	YCL012C
Scer_3.81	Spar_3.68	YCL011C
Scer_3.82	Spar_3.69	YCL010C
Scer_3.83	Spar_3.70	YCL009C
Scer_3.84	Spar_3.71	YCL008C
Scer_3.85	Spar_3.72	YCL005W-A
Scer_3.86	Spar_3.73	YCL005W
Scer_3.87	Spar_3.74	YCL004W
Scer_3.88	Spar_3.75	YCL002C
Scer_3.89	Spar_3.76	YCL001W
Scer_3.90	Spar_3.77	YCL001W-A
Scer_3.93	Spar_3.81	YCR002C
Scer_3.94	Spar_3.82	YCR003W
Scer_3.95	Spar_3.83	YCR004C
Scer_3.96	Spar_3.84	YCR005C
Scer_3.97	Spar_3.85	YCR006C
Scer_3.104	Spar_3.94	YCR008W
Scer_3.105	Spar_3.95	YCR009C
Scer_3.106	Spar_3.96	YCR010C
Scer_3.107	Spar_3.97	YCR011C
Scer_3.108	Spar_3.98	YCR012W
Scer_3.109	Spar_3.99	YCR014C
Scer_3.110	Spar_3.100	YCR015C
Scer_3.115	Spar_3.108	YCR016W
Scer_3.116	Spar_3.109	YCR017C
Scer_3.117	Spar_3.110	YCR018C
Scer_3.124	Spar_3.117	YCR019W
Scer_3.125	Spar_3.118	YCR020C
Scer_3.126	Spar_3.119	YCR020C-A
Scer_3.127	Spar_3.120	YCR020W-B
Scer_3.128	Spar_3.121	YCR021C
Scer_3.130	Spar_3.123	YCR023C
Scer_3.131	Spar_3.124	YCR024C
Scer_3.134	Spar_3.126	YEL017C-A
Scer_3.135	Spar_3.127	YCR025C
Scer_3.136	Spar_3.128	YCR026C
Scer_3.137	Spar_3.129	YCR027C
Scer_3.144	Spar_3.134	YCR028C
Scer_3.145	Spar_3.135	YCR028C-A
Scer_3.146	Spar_3.136	YCR030C
Scer_3.147	Spar_3.137	YCR031C
Scer_3.148	Spar_3.138	YCR032W
Scer_3.149	Spar_3.139	YCR033W
Scer_3.150	Spar_3.140	YCR034W
Scer_3.151	Spar_3.141	AFR625C
Scer_3.152	Spar_3.142	YCR036W
Scer_3.153	Spar_3.143	YCR037C
Scer_3.154	Spar_3.144	YCR038C
Scer_3.155	Spar_3.145	YCR039C
Scer_3.156	Spar_3.146	YCR040W
Scer_3.157	Spar_3.147	YCR041W
Scer_3.158	Spar_3.148	YCR042C
Scer_3.159	Spar_3.149	YCR043C
Scer_3.160	Spar_3.150	YCR044C
Scer_3.161	Spar_3.151	YCR045C
Scer_3.162	Spar_3.152	YCR046C
Scer_3.163	Spar_3.153	YCR047C
Scer_3.164	Spar_3.154	YCR048W
Scer_3.165	Spar_3.155	YCR051W
Scer_3.166	Spar_3.156	YCR052W
Scer_3.167	Spar_3.157	YCR053W
Scer_3.168	Spar_3.158	YCR054C
Scer_3.169	Spar_3.159	YCR057C
Scer_3.170	Spar_3.160	YCR059C
Scer_3.171	Spar_3.161	YCR060W
Scer_3.172	Spar_3.162	YCR061W
Scer_3.175	Spar_3.165	YCR063W
Scer_3.176	Spar_3.166	YCR065W
Scer_3.177	Spar_3.167	YCR066W
Scer_3.178	Spar_3.168	YCR067C
Scer_3.179	Spar_3.172	YCR068W
Scer_3.180	Spar_3.173	YCR069W
Scer_3.181	Spar_3.174	YCR071C
Scer_3.182	Spar_3.175	YCR072C
Scer_3.183	Spar_3.176	YCR073C
Scer_3.184	Spar_3.177	YCR073W-A
Scer_3.185	Spar_3.178	YCR075C
Scer_3.186	Spar_3.179	YCR075W-A
Scer_3.187	Spar_3.180	YCR076C
Scer_3.188	Spar_3.181	YCR077C
Scer_3.189	Spar_3.182	YCR079W
Scer_3.190	Spar_3.183	YCR081W
Scer_3.191	Spar_3.184	YCR082W
Scer_3.192	Spar_3.185	YCR083W
Scer_3.193	Spar_3.186	YCR084C
Scer_3.195	Spar_3.188	YCR086W
Scer_3.196	Spar_3.189	YCR087C-A
Scer_3.197	Spar_3.190	YCR088W
Scer_3.198	Spar_3.192	YCR089W
Scer_3.199	Spar_3.193	YCR090C
Scer_3.200	Spar_3.194	YCR091W
Scer_3.201	Spar_3.195	YCR092C
Scer_3.202	Spar_3.196	YCR093W
Scer_3.203	Spar_3.197	YCR094W
Scer_3.204	Spar_3.198	YCR095C
Scer_4.20	Spar_4.26	YDL240W
Scer_4.21	Spar_4.27	YDL239C
Scer_4.22	Spar_4.28	YDL238C
Scer_4.23	Spar_4.29	YDL237W
Scer_4.24	Spar_4.30	YDL236W
Scer_4.25	Spar_4.31	YDL235C
Scer_4.26	Spar_4.32	YDL234C
Scer_4.27	Spar_4.33	YDL233W
Scer_4.28	Spar_4.34	YDL232W
Scer_4.29	Spar_4.35	YDL231C
Scer_4.30	Spar_4.36	YDL230W
Scer_4.31	Spar_4.37	YDL229W
Scer_4.34	Spar_4.39	YDL226C
Scer_4.35	Spar_4.40	YDL225W
Scer_4.36	Spar_4.41	YDL224C
Scer_4.37	Spar_4.42	YDL223C
Scer_4.38	Spar_4.43	YDL222C
Scer_4.39	Spar_4.44	YDL220C
Scer_4.40	Spar_4.45	YDL219W
Scer_4.41	Spar_4.46	YDL218W
Scer_4.42	Spar_4.47	YDL217C
Scer_4.43	Spar_4.48	YDL216C
Scer_4.44	Spar_4.49	YDL215C
Scer_4.45	Spar_4.50	YDL214C
Scer_4.46	Spar_4.51	YDL213C
Scer_4.47	Spar_4.52	YDL212W
Scer_4.48	Spar_4.53	YDL211C
Scer_4.50	Spar_4.55	YDL210W
Scer_4.51	Spar_4.56	YDL209C
Scer_4.52	Spar_4.57	YDL208W
Scer_4.53	Spar_4.58	YDL207W
Scer_4.54	Spar_4.59	YDL206W
Scer_4.55	Spar_4.60	YDL205C
Scer_4.56	Spar_4.61	YDL204W
Scer_4.57	Spar_4.62	YDL203C
Scer_4.58	Spar_4.63	YDL202W
Scer_4.59	Spar_4.64	YDL201W
Scer_4.60	Spar_4.65	YDL200C
Scer_4.61	Spar_4.66	YDL199C
Scer_4.62	Spar_4.67	YDL198C
Scer_4.63	Spar_4.68	YDL197C
Scer_4.64	Spar_4.69	YDL196W
Scer_4.65	Spar_4.70	YDL195W
Scer_4.66	Spar_4.71	YDL194W
Scer_4.67	Spar_4.72	YDL193W
Scer_4.68	Spar_4.73	YDL192W
Scer_4.69	Spar_4.74	Kpol_1019.33
Scer_4.70	Spar_4.75	YDL190C
Scer_4.71	Spar_4.76	YDL189W
Scer_4.72	Spar_4.77	YDL188C
Scer_4.73	Spar_4.78	YDL186W
Scer_4.74	Spar_4.79	YDL185C-A
Scer_4.75	Spar_4.80	YDL185W
Scer_4.76	Spar_4.81	YDL183C
Scer_4.77	Spar_4.82	YDL182W
Scer_4.78	Spar_4.83	YDL181W
Scer_4.79	Spar_4.84	YDL180W
Scer_4.80	Spar_4.85	YDL179W
Scer_4.81	Spar_4.86	YDL178W
Scer_4.82	Spar_4.87	YDL177C
Scer_4.83	Spar_4.88	YDL176W
Scer_4.84	Spar_4.89	YDL175C
Scer_4.85	Spar_4.90	YDL174C
Scer_4.86	Spar_4.91	YDL173W
Scer_4.87	Spar_4.92	YDL171C
Scer_4.88	Spar_4.93	YDL170W
